book_id,book_title,chapter_idx,chapter_id,text,lda_dominant_topic,lda_pred_book,nmf_dominant_topic,nmf_pred_book
84,Frankenstein,1,Frankenstein__1,Letter 1,5,Frankenstein,5,Frankenstein
84,Frankenstein,2,Frankenstein__2,Letter 2,5,Frankenstein,5,Frankenstein
84,Frankenstein,3,Frankenstein__3,Letter 3,5,Frankenstein,5,Frankenstein
84,Frankenstein,4,Frankenstein__4,Letter 4,5,Frankenstein,5,Frankenstein
84,Frankenstein,5,Frankenstein__5,Chapter 1,0,Frankenstein,0,Frankenstein
84,Frankenstein,6,Frankenstein__6,Chapter 2,0,Frankenstein,0,Frankenstein
84,Frankenstein,7,Frankenstein__7,Chapter 3,0,Frankenstein,0,Frankenstein
84,Frankenstein,8,Frankenstein__8,Chapter 4,0,Frankenstein,0,Frankenstein
84,Frankenstein,9,Frankenstein__9,Chapter 5,0,Frankenstein,0,Frankenstein
84,Frankenstein,10,Frankenstein__10,Chapter 6,0,Frankenstein,0,Frankenstein
84,Frankenstein,11,Frankenstein__11,Chapter 7,0,Frankenstein,0,Frankenstein
84,Frankenstein,12,Frankenstein__12,Chapter 8,0,Frankenstein,0,Frankenstein
84,Frankenstein,13,Frankenstein__13,Chapter 9,0,Frankenstein,0,Frankenstein
84,Frankenstein,14,Frankenstein__14,Chapter 10,5,Frankenstein,1,Dracula
84,Frankenstein,15,Frankenstein__15,Chapter 11,3,Frankenstein,5,Frankenstein
84,Frankenstein,16,Frankenstein__16,Chapter 12,2,Dracula,5,Frankenstein
84,Frankenstein,17,Frankenstein__17,Chapter 13,0,Frankenstein,0,Frankenstein
84,Frankenstein,18,Frankenstein__18,Chapter 14,0,Frankenstein,0,Frankenstein
84,Frankenstein,19,Frankenstein__19,Chapter 15,0,Frankenstein,0,Frankenstein
84,Frankenstein,20,Frankenstein__20,Chapter 16,3,Frankenstein,5,Frankenstein
84,Frankenstein,21,Frankenstein__21,Chapter 17,3,Frankenstein,5,Frankenstein
84,Frankenstein,22,Frankenstein__22,Chapter 18,3,Frankenstein,3,Frankenstein
84,Frankenstein,23,Frankenstein__23,Chapter 19,0,Frankenstein,0,Frankenstein
84,Frankenstein,24,Frankenstein__24,Chapter 20,0,Frankenstein,0,Frankenstein
84,Frankenstein,25,Frankenstein__25,Chapter 21,0,Frankenstein,0,Frankenstein
84,Frankenstein,26,Frankenstein__26,Chapter 22,0,Frankenstein,0,Frankenstein
84,Frankenstein,27,Frankenstein__27,Chapter 23,0,Frankenstein,0,Frankenstein
84,Frankenstein,28,Frankenstein__28,Chapter 24,0,Frankenstein,0,Frankenstein
